,true_volume,gen_volume,implied_volume
0,137.7771,139.8361,140.10569169494661
1,89.0621,90.2106,91.174780294224
2,182.1637,158.4339,158.894923583206
3,78.7892,78.2527,78.473526788818
4,115.1895,112.4508,112.24066813627388
5,66.8823,60.6829,60.411369118733994
6,232.9012,223.1052,223.966698866316
7,94.1958,97.7258,97.46589731265885
8,309.8083,315.5238,315.529161657039
9,148.3115,149.9836,149.78531546082004
10,417.246,426.5853,426.583660384952
11,409.4827,399.7884,398.51768137843203
12,386.5954,388.5092,388.50564022323204
13,132.419,132.9145,132.502779233143
14,55.343,54.4483,54.34438351956136
15,396.8606,399.9513,399.95716846175196
16,307.3766,306.8235,306.822999923623
17,85.8025,86.4408,86.40122145012398
18,211.1451,213.0485,215.07324069939114
19,496.4518,500.83,496.30132819980616
20,330.0771,331.0424,333.32422687191934
21,182.4084,184.8172,185.09610710851348
22,414.5502,415.5991,415.595169786376
23,188.7359,189.401,189.6669402280824
24,360.8207,336.8605,335.30602681654756
25,205.1886,204.045,204.54740971309408
26,268.8495,270.4061,270.400721279625
27,258.6312,245.4273,246.16100246144111
28,350.8119,354.7736,354.774622233088
29,181.7247,184.701,184.75091393615998
30,294.7878,297.8816,297.9946191480454
31,422.5603,425.5018,425.496563900344
32,362.9281,361.1945,361.69513890939
33,79.2019,80.9071,81.14105624999999
34,412.0236,407.3322,407.3304233451519
35,176.7407,180.2957,181.26017233632004
36,393.2429,389.7333,389.73685856612497
37,72.6403,70.9208,71.24709345683569
38,116.0291,114.3604,114.50322313704
39,131.5087,131.666,131.800043721984
40,261.3625,261.3409,261.34609092537505
41,364.9721,369.8759,369.7688662247914
42,181.0442,185.5858,185.90446460611201
43,366.5856,369.6042,369.605195622125
44,348.2292,346.2822,346.28855417956703
45,51.7333,52.2343,52.01133155891399
46,56.1031,55.9525,55.984807075283996
47,503.7868,502.471,505.758939755625
48,338.311,346.9491,346.939889724163
49,234.7183,237.0262,239.6773585164042
50,283.3494,278.4644,278.470662323608
51,146.4915,148.0751,147.23870888524
52,444.474,464.3733,464.36810599167205
53,541.7075,531.518,533.3235479119334
54,117.5167,128.0119,128.42113009150071
55,197.3062,196.1512,197.19408774912
56,154.0574,152.2904,152.05944517120003
57,372.6256,382.819,382.81532058100004
58,259.0445,260.0972,260.09725403053704
59,91.825,94.2879,94.39534556874798
60,87.0228,87.9744,88.40152368816003
61,31.2583,32.8445,32.01683321370859
62,326.1318,330.5236,327.9607689845316
63,421.9759,421.806,421.807503599936
64,195.5884,194.7778,195.301820977956
65,95.5427,98.3364,97.63173039477
66,196.0841,190.1415,190.139132802527
67,163.8693,163.2386,163.48598344411297
68,202.5489,203.22,203.214504729088
69,152.223,151.8727,151.97363609842003
70,95.7406,99.1241,98.923752598528
71,131.3054,146.2172,145.24586015939997
72,265.0724,263.4358,263.436357957625
73,132.3162,133.0088,132.7303108509
74,165.7737,165.815,165.6100673284617
75,79.1109,80.4583,80.08542927609601
76,126.2662,125.4533,125.11133277095
77,86.4043,92.0814,92.10035789403422
78,747.937,733.6116,723.45212317998
79,218.1639,216.6297,216.62700571511198
80,97.2826,97.8857,97.69247558163602
81,121.6577,124.296,122.90013225350205
82,425.3089,421.1796,421.166646825912
83,877.3865,874.6236,874.6553623001039
84,264.055,257.3274,256.497684541289
85,177.3788,176.5681,176.28371180618402
86,70.5933,72.3829,72.50144258001006
87,126.9873,126.7829,126.897350543973
88,142.764,144.1143,144.49172033088
89,319.695,319.9133,319.91526429445696
90,310.171,312.7827,312.784119158841
91,156.0598,152.1382,151.47744035635196
92,274.047,274.9784,274.980052901952
93,310.9229,314.5815,314.58461668533096
94,246.6862,255.2,254.52837710563344
95,95.6831,96.5672,96.31491606538201
96,146.8029,145.8943,146.454246712962
97,1681.0233,1726.5834,1726.5316161206963
98,118.0477,126.7971,125.88053236
99,96.3739,96.2489,96.46741966764
100,127.5702,128.5466,128.24832511221598
101,185.0379,186.2804,186.293170152414
102,93.7839,95.082,94.694638787775
103,349.9333,353.4678,353.468225652625
104,121.7904,122.3435,122.37677249257999
105,293.8766,297.5624,297.56922596272796
106,510.9523,533.3507,533.352538299673
107,105.5956,103.0249,103.67014678066799
108,277.1549,279.9602,279.8982392708994
109,272.7813,272.1991,272.211181827129
110,705.482,696.0708,697.7889433055968
111,470.9678,477.3558,477.350037287577
112,110.2754,109.3605,108.96170864532668
113,174.9881,179.2029,179.29028695189598
114,434.5498,442.0339,435.41010479159996
115,100.7099,101.1142,100.87286223016277
116,189.5454,188.6891,188.47357592415804
117,86.929,87.7712,87.73011672223201
118,376.6477,374.5631,374.57148121412496
119,195.8239,195.7309,195.26807883791997
120,103.3486,104.2158,103.29620870368801
121,80.5123,78.4726,78.67800671436189
122,219.5388,215.2698,215.266432005568
123,149.0945,148.359,147.758862204634
124,140.7271,139.6141,139.5761832960379
125,314.2109,310.1679,310.16500062037096
126,152.9318,156.3682,156.076144882632
127,305.7682,311.3784,311.376240770139
128,403.7607,410.37,410.3711767393279
129,601.3038,601.5067,601.510814749944
130,79.9144,82.1594,82.39413893517752
